magnitude,depth,distance,vs30,azimuth,mmi,event_id
4.3,10.9,269.65650850091043,290.9,225.48720444564222,2.6,us6000sn3a
4.3,10.9,182.58820204770655,235.0,245.25464179144842,2.9,us6000sn3a
4.3,10.9,226.55092341518005,311.6,42.123159231365435,2.8,us6000sn3a
4.3,10.9,65.47544440592252,390.0,285.8173800783079,3.4,us6000sn3a
4.3,10.9,197.75826295581794,332.2,134.23834670859378,2.9,us6000sn3a
4.3,10.9,187.5739737822183,204.0,285.4228880754696,2.9,us6000sn3a
4.3,10.9,129.89035806263777,225.5,203.22893971280809,3.2,us6000sn3a
4.3,10.9,68.03097812244182,405.7,107.21751710084402,3.4,us6000sn3a
4.3,10.9,160.6167932518048,457.5,347.3280921182332,3.0,us6000sn3a
4.3,10.9,174.3730821840348,438.7,114.35672094381476,2.9,us6000sn3a
4.3,10.9,94.96485408593375,281.9,61.16795753491738,3.3,us6000sn3a
4.3,10.9,86.22034656924978,351.2,146.77009717157352,3.4,us6000sn3a
4.3,10.9,215.91898611168372,658.0,333.51680304331586,2.7,us6000sn3a
4.3,10.9,63.57500951406529,502.5,255.86887951480884,3.4,us6000sn3a
4.3,10.9,132.4433770836238,834.6,281.28392520010254,3.0,us6000sn3a
4.3,10.9,184.9666175786731,339.1,347.837936835332,2.9,us6000sn3a
4.3,10.9,104.9427524115158,227.0,279.46871449924606,3.3,us6000sn3a
4.3,10.9,246.46139670104535,507.1,220.3790693010447,2.6,us6000sn3a
4.3,10.9,161.8723488827352,381.4,260.2491476837183,3.0,us6000sn3a
4.3,10.9,126.424319128186,271.6,65.41456081034323,3.2,us6000sn3a
4.3,10.9,154.6751873077965,323.9,310.2307928723833,3.1,us6000sn3a
4.3,10.9,168.17614862967758,408.0,203.2751462977643,3.0,us6000sn3a
4.3,10.9,205.66963663332498,279.5,148.04880927800906,2.9,us6000sn3a
4.3,10.9,161.52166886542278,275.0,76.60001303718582,3.0,us6000sn3a
4.3,10.9,143.55686088412557,263.2,110.78936419313175,3.1,us6000sn3a
4.3,10.9,62.99367087163419,401.6,278.6759105271192,3.4,us6000sn3a
4.3,10.9,33.97084468804639,461.4,254.32984671792752,3.8,us6000sn3a
4.3,10.9,189.8374711234197,353.9,86.64316001268139,2.9,us6000sn3a
4.3,10.9,191.92955496193966,251.0,243.8249435778361,2.9,us6000sn3a
4.3,10.9,52.29709072545817,419.1,33.45881772453845,3.5,us6000sn3a
4.3,10.9,138.22500391135569,289.6,50.60499474378071,3.1,us6000sn3a
4.3,10.9,207.39909438346513,573.5,249.3491257385611,2.7,us6000sn3a
4.3,10.9,60.04865361247118,541.7,272.868684593078,3.4,us6000sn3a
4.3,10.9,94.47379657934009,302.3,71.42488874440903,3.3,us6000sn3a
4.3,10.9,216.2885408096393,292.4,113.4408411176351,2.8,us6000sn3a
4.3,10.9,176.43696412486545,291.2,149.1833634884618,3.0,us6000sn3a
4.3,10.9,34.976727023472904,454.3,287.1028286847377,3.7,us6000sn3a
4.3,10.9,35.35154781832622,330.1,156.34413986279708,4.0,us6000sn3a
4.3,10.9,126.88806761369307,626.1,283.033270987777,3.0,us6000sn3a
4.3,10.9,203.72707407674352,268.0,70.03826029309175,2.9,us6000sn3a
4.3,10.9,180.99846881115866,268.1,292.44646613007467,3.0,us6000sn3a
4.3,10.9,134.1056007403763,604.0,300.6479455966508,3.0,us6000sn3a
4.3,10.9,157.76056870154923,286.5,284.04700995765455,3.0,us6000sn3a
4.3,10.9,265.13588537780834,312.4,44.80618430055097,2.7,us6000sn3a
4.3,10.9,192.3983832170036,370.9,205.37698056625533,2.9,us6000sn3a
4.3,10.9,144.44640080138433,235.4,132.52088006620278,3.1,us6000sn3a
4.3,10.9,128.95716272976637,379.1,252.37150529985476,3.1,us6000sn3a
4.3,10.9,234.57295852473337,417.7,147.33960188863023,2.7,us6000sn3a
4.3,10.9,197.82680048730148,240.8,100.77617160501188,2.9,us6000sn3a
4.3,10.9,167.76858605168508,251.8,268.9142739604074,3.0,us6000sn3a
4.3,10.9,233.56407834600188,232.6,57.29680648869652,2.8,us6000sn3a
4.3,10.9,76.34339598072522,334.3,244.32462069034077,3.4,us6000sn3a
4.3,10.9,124.35057606032113,456.6,230.9959245039213,3.1,us6000sn3a
4.3,10.9,157.6844540227555,435.2,186.89225450747443,3.0,us6000sn3a
4.3,10.9,200.17950916455365,386.8,342.6836416025699,2.8,us6000sn3a
4.3,10.9,167.70008600895488,561.1,305.8790339488143,2.9,us6000sn3a
4.3,10.9,206.6491154051811,284.4,123.5901709580894,2.9,us6000sn3a
4.3,10.9,164.76167128369661,316.6,118.49701918018411,3.0,us6000sn3a
4.3,10.9,36.604840414346555,510.1,8.692578592501661,3.6,us6000sn3a
4.3,10.9,122.37279637117256,756.5,197.60281989672924,3.0,us6000sn3a
4.3,10.9,158.3172214011322,287.7,152.5916514617138,3.0,us6000sn3a
4.3,10.9,244.27474296160284,278.0,317.8828449505738,2.7,us6000sn3a
4.3,10.9,236.90505219655319,302.5,232.94392160346473,2.7,us6000sn3a
4.3,10.9,177.24236592953883,247.4,73.71772329080375,3.0,us6000sn3a
4.3,10.9,89.42075078005071,443.9,24.060394948865394,3.2,us6000sn3a
4.3,10.9,118.18774256851887,221.3,146.80533122041436,3.2,us6000sn3a
4.3,10.9,193.1360064710864,228.1,252.65567741621263,2.9,us6000sn3a
4.3,10.9,177.36120102969,337.8,346.53385691217755,3.0,us6000sn3a
4.3,10.9,191.48989150450868,224.8,234.61569190504116,2.9,us6000sn3a
4.3,10.9,247.66345763107057,329.3,54.47280808262872,2.7,us6000sn3a
4.3,10.9,105.15198033715441,483.7,348.1832091940311,3.2,us6000sn3a
4.3,10.9,148.20023300333034,488.5,186.4042062275882,3.0,us6000sn3a
4.3,10.9,118.57264205449815,278.2,244.87074336454333,3.2,us6000sn3a
4.3,10.9,150.30500484685408,238.5,78.18195555047828,3.1,us6000sn3a
4.3,10.9,160.19064862712443,375.1,70.99386026069908,3.0,us6000sn3a
4.3,10.9,182.7349880186928,233.8,134.43269104977537,2.9,us6000sn3a
4.3,10.9,204.229582881677,500.7,320.8694367558488,2.8,us6000sn3a
4.3,10.9,251.72400625679538,450.2,124.192348682746,2.6,us6000sn3a
4.3,10.9,145.37536706157172,607.6,316.39092281772196,3.0,us6000sn3a
4.3,10.9,209.30125274940818,409.9,213.07462260143444,2.8,us6000sn3a
4.3,10.9,66.84440729697668,289.9,175.87600159435874,3.5,us6000sn3a
4.3,10.9,188.7889316935694,528.5,14.591698447766873,2.8,us6000sn3a
4.3,10.9,168.89000560401018,319.5,124.76381166699804,3.0,us6000sn3a
4.3,10.9,138.4776768139696,900.0,201.73301288902556,3.0,us6000sn3a
4.3,10.9,153.24797315720727,282.1,43.65333321445041,3.1,us6000sn3a
4.3,10.9,42.66041933688543,326.1,214.5375245216623,3.7,us6000sn3a
4.3,10.9,247.25240885027193,334.7,312.9708623139386,2.7,us6000sn3a
4.3,10.9,157.9933280625515,235.4,134.38998494196414,3.0,us6000sn3a
4.3,10.9,228.27561815661147,271.5,49.58227559063391,2.8,us6000sn3a
4.3,10.9,157.01185583483488,257.7,87.16528147500242,3.1,us6000sn3a
4.3,10.9,180.03660962460063,458.2,357.1028444245652,2.9,us6000sn3a
4.3,10.9,176.76562272006564,592.6,15.115542068615525,2.9,us6000sn3a
4.3,10.9,203.86428736285518,336.6,40.9982583948497,2.9,us6000sn3a
4.3,10.9,204.27473160084236,503.4,329.8538061144436,2.8,us6000sn3a
